Time,RFoot_accel.x,RFoot_accel.y,RFoot_accel.z,RFoot_gyro.x,RFoot_gyro.y,RFoot_gyro.z,LFoot_accel.x,LFoot_accel.y,LFoot_accel.z,LFoot_gyro.x,LFoot_gyro.y,LFoot_gyro.z,RShank_accel.x,RShank_accel.y,RShank_accel.z,RShank_gyro.x,RShank_gyro.y,RShank_gyro.z,LShank_accel.x,LShank_accel.y,LShank_accel.z,LShank_gyro.x,LShank_gyro.y,LShank_gyro.z,RThigh_accel.x,RThigh_accel.y,RThigh_accel.z,RThigh_gyro.x,RThigh_gyro.y,RThigh_gyro.z,LThigh_accel.x,LThigh_accel.y,LThigh_accel.z,LThigh_gyro.x,LThigh_gyro.y,LThigh_gyro.z,Pelvis_accel.x,Pelvis_accel.y,Pelvis_accel.z,Pelvis_gyro.x,Pelvis_gyro.y,Pelvis_gyro.z
4.15,11165.2,-9625.37,11117.7,-88.3264,305.818,270.09,4650.59,2160.5,8379.47,-3.92338,-1.66783,12.7148,5190.81,12002.8,-3614.55,189.356,74.0374,340.728,-745.332,-10092.2,-1667.78,-7.48449,-22.2326,47.8495,-4927.67,3510.02,-2357.03,-42.0718,131.345,93.5154,-364.995,-8924.48,630.755,-80.7,-106.599,82.7261,7952.85,-1909.25,1885.39,47.403,-6.77063,7.07241
4.151,11325.7,-9849.21,11201.4,-87.3541,306.245,270.492,4657.45,2126.89,8377.57,-3.84389,-1.81225,12.6499,5235.65,12251.6,-3663.36,191.186,77.8586,341.587,-773.045,-10088.7,-1672.0,-7.44347,-22.6574,47.9055,-4772.42,3522.98,-2311.41,-43.2954,137.32,92.2218,-553.816,-8922.17,791.462,-83.2318,-111.115,82.0306,7931.14,-1834.13,1870.23,47.6033,-7.26626,6.51341
4.152,11501.9,-10013.0,11250.8,-85.7166,306.72,271.363,4659.51,2100.3,8387.72,-3.62924,-2.08189,12.6477,5230.36,12493.0,-3663.07,193.076,81.5058,342.429,-819.487,-10060.8,-1658.39,-7.43471,-23.3398,48.1131,-4626.05,3542.79,-2204.75,-43.4568,140.641,90.7063,-609.173,-8882.46,325.474,-80.2175,-111.638,82.9122,7888.23,-1828.93,1887.89,47.8468,-7.75809,6.01677
4.153,11680.1,-10169.3,11296.0,-83.9959,307.2,272.292,4660.97,2074.59,8399.38,-3.3977,-2.36719,12.6535,5218.81,12733.4,-3656.66,194.973,85.1313,343.268,-868.269,-10029.8,-1642.56,-7.42997,-24.0545,48.3397,-4480.78,3563.46,-2090.48,-43.4854,143.63,89.1631,-647.848,-8838.08,-218.851,-76.5099,-111.661,83.9911,7842.66,-1832.46,1909.64,48.0958,-8.24944,5.52793
4.154,11858.3,-10325.7,11341.2,-82.2753,307.68,273.221,4662.43,2048.88,8411.04,-3.16616,-2.65248,12.6592,5207.27,12973.8,-3650.24,196.87,88.7568,344.107,-917.052,-9998.79,-1626.72,-7.42524,-24.7692,48.5662,-4335.52,3584.12,-1976.2,-43.514,146.619,87.6199,-686.522,-8793.7,-763.176,-72.8024,-111.685,85.0699,7797.1,-1836.0,1931.4,48.3447,-8.7408,5.03908
4.155,12036.5,-10482.0,11386.3,-80.5546,308.16,274.15,4663.89,2023.16,8422.71,-2.93462,-2.93778,12.6649,5195.72,13214.3,-3643.82,198.767,92.3822,344.946,-965.835,-9967.81,-1610.89,-7.42051,-25.4839,48.7927,-4190.26,3604.79,-1861.92,-43.5426,149.608,86.0767,-725.196,-8749.32,-1307.5,-69.0948,-111.708,86.1488,7751.54,-1839.53,1953.16,48.5936,-9.23215,4.55023
4.156,12245.5,-10603.6,11424.6,-78.7529,308.635,275.454,4666.67,2019.49,8436.37,-2.80795,-3.20065,12.6433,5166.61,13480.2,-3633.17,200.511,95.979,345.623,-993.988,-9946.85,-1589.39,-7.43835,-26.2755,49.034,-4079.91,3639.66,-1732.0,-43.7261,150.859,84.7827,-770.041,-8792.31,-1647.0,-65.532,-111.543,87.1252,7722.19,-1840.78,1967.91,48.8707,-9.78373,4.08742
4.157,12493.2,-10682.0,11454.4,-76.8496,309.103,277.226,4671.1,2043.37,8452.53,-2.81236,-3.43549,12.5874,5115.55,13778.2,-3617.24,202.063,99.5399,346.098,-996.352,-9938.45,-1560.83,-7.48443,-27.1632,49.2937,-4013.2,3692.28,-1582.53,-44.1033,149.938,83.8003,-822.599,-8944.53,-1730.47,-62.1501,-111.144,87.9734,7713.12,-1839.15,1973.9,49.183,-10.4106,3.65716
4.158,12740.8,-10760.3,11484.1,-74.9464,309.572,278.997,4675.54,2067.25,8468.69,-2.81677,-3.67034,12.5316,5064.49,14076.1,-3601.31,203.615,103.101,346.572,-998.716,-9930.04,-1532.26,-7.5305,-28.0509,49.5533,-3946.49,3744.9,-1433.07,-44.4805,149.016,82.8179,-875.158,-9096.75,-1813.93,-58.7682,-110.745,88.8217,7704.04,-1837.53,1979.89,49.4953,-11.0375,3.2269
4.159,12988.4,-10838.7,11513.9,-73.0431,310.04,280.768,4679.97,2091.13,8484.85,-2.82119,-3.90518,12.4757,5013.42,14374.0,-3585.38,205.167,106.662,347.046,-1001.08,-9921.63,-1503.69,-7.57657,-28.9387,49.8129,-3879.79,3797.53,-1283.6,-44.8577,148.094,81.8355,-927.717,-9248.97,-1897.4,-55.3862,-110.345,89.6699,7694.97,-1835.9,1985.88,49.8076,-11.6643,2.79665
4.16,13236.0,-10917.0,11543.7,-71.1399,310.508,282.54,4684.4,2115.01,8501.01,-2.8256,-4.14002,12.4199,4962.36,14672.0,-3569.45,206.719,110.222,347.52,-1003.44,-9913.22,-1475.12,-7.62264,-29.8264,50.0726,-3813.08,3850.15,-1134.14,-45.2348,147.173,80.8532,-980.275,-9401.19,-1980.86,-52.0043,-109.946,90.5182,7685.9,-1834.28,1991.88,50.1198,-12.2912,2.36639
4.161,13536.8,-10886.9,11540.2,-69.2599,310.53,285.113,4656.65,2125.59,8497.01,-2.59987,-4.29978,12.2332,4877.06,15025.9,-3499.85,207.66,114.214,347.6,-924.692,-9940.66,-1453.68,-7.6512,-30.3933,50.3705,-3855.85,3926.86,-936.84,-47.0768,143.497,80.9404,-1029.48,-9495.86,-1795.42,-52.2059,-110.919,90.3098,7651.84,-1773.3,1988.27,50.3654,-13.0094,1.93859
4.162,13837.5,-10856.8,11536.8,-67.38,310.551,287.685,4628.91,2136.17,8493.0,-2.37415,-4.45954,12.0466,4791.75,15379.8,-3430.26,208.602,118.205,347.679,-845.939,-9968.1,-1432.23,-7.67975,-30.9602,50.6685,-3898.61,4003.56,-739.543,-48.9188,139.821,81.0277,-1078.69,-9590.53,-1609.98,-52.4074,-111.892,90.1015,7617.77,-1712.32,1984.67,50.611,-13.7275,1.51079
4.163,14138.3,-10826.8,11533.3,-65.5,310.573,290.258,4601.16,2146.76,8489.0,-2.14842,-4.6193,11.86,4706.44,15733.7,-3360.66,209.544,122.196,347.759,-767.186,-9995.54,-1410.78,-7.7083,-31.5271,50.9664,-3941.38,4080.27,-542.247,-50.7608,136.146,81.1149,-1127.9,-9685.2,-1424.53,-52.609,-112.865,89.8931,7583.71,-1651.35,1981.06,50.8566,-14.4457,1.08299
4.164,14439.1,-10796.7,11529.9,-63.62,310.594,292.831,4573.42,2157.34,8485.0,-1.92269,-4.77906,11.6733,4621.13,16087.7,-3291.06,210.485,126.187,347.839,-688.434,-10023.0,-1389.33,-7.73685,-32.094,51.2644,-3984.15,4156.98,-344.951,-52.6028,132.47,81.2022,-1177.1,-9779.87,-1239.09,-52.8105,-113.838,89.6848,7549.64,-1590.37,1977.46,51.1022,-15.1639,0.655194
