Time,RFoot_accel.x,RFoot_accel.y,RFoot_accel.z,RFoot_gyro.x,RFoot_gyro.y,RFoot_gyro.z,LFoot_accel.x,LFoot_accel.y,LFoot_accel.z,LFoot_gyro.x,LFoot_gyro.y,LFoot_gyro.z,RShank_accel.x,RShank_accel.y,RShank_accel.z,RShank_gyro.x,RShank_gyro.y,RShank_gyro.z,LShank_accel.x,LShank_accel.y,LShank_accel.z,LShank_gyro.x,LShank_gyro.y,LShank_gyro.z,RThigh_accel.x,RThigh_accel.y,RThigh_accel.z,RThigh_gyro.x,RThigh_gyro.y,RThigh_gyro.z,LThigh_accel.x,LThigh_accel.y,LThigh_accel.z,LThigh_gyro.x,LThigh_gyro.y,LThigh_gyro.z,Pelvis_accel.x,Pelvis_accel.y,Pelvis_accel.z,Pelvis_gyro.x,Pelvis_gyro.y,Pelvis_gyro.z
4.09,4613.26,-7476.83,8505.82,13.9951,27.9087,-37.5905,6152.31,4412.6,10875.2,11.0986,389.792,-60.0706,-545.046,7837.26,-4314.13,-5.51169,-29.7679,-36.3357,1710.46,-8169.63,294.361,-4.51165,-44.8506,-341.453,-757.927,11077.6,1202.46,13.7352,11.1218,-102.125,-7143.22,-3989.0,-4748.45,28.7805,206.325,-149.268,6717.69,1602.41,1660.71,-36.1446,40.1237,-30.7617
4.091,4397.14,-6766.85,8741.39,13.2278,27.4041,-40.7823,6295.35,4543.82,10989.5,10.7554,392.552,-61.6605,136.613,7895.2,-3572.55,-5.72555,-30.9316,-37.8005,1740.07,-8279.01,266.304,-5.27491,-43.8291,-343.813,-414.942,11044.6,1481.16,9.79853,13.7845,-101.102,-7246.07,-3955.42,-4558.07,27.8482,211.973,-148.951,6797.9,1645.92,1637.54,-36.2427,40.3566,-30.4319
4.092,4181.02,-6056.87,8976.97,12.4604,26.8995,-43.974,6438.38,4675.03,11103.8,10.4123,395.312,-63.2504,818.272,7953.14,-2830.97,-5.9394,-32.0952,-39.2653,1769.68,-8388.39,238.248,-6.03817,-42.8075,-346.173,-71.9577,11011.7,1759.85,5.86182,16.4473,-100.079,-7348.92,-3921.84,-4367.7,26.9159,217.621,-148.634,6878.1,1689.42,1614.37,-36.3407,40.5895,-30.1022
4.093,3964.9,-5346.9,9212.54,11.693,26.3949,-47.1657,6581.42,4806.25,11218.2,10.0692,398.072,-64.8403,1499.93,8011.08,-2089.4,-6.15326,-33.2588,-40.7302,1799.3,-8497.77,210.192,-6.80143,-41.786,-348.533,271.027,10978.8,2038.55,1.92511,19.11,-99.0558,-7451.76,-3888.26,-4177.32,25.9836,223.269,-148.316,6958.3,1732.92,1591.19,-36.4387,40.8224,-29.7724
4.094,3734.34,-4136.42,9396.98,10.7666,25.711,-47.0646,6691.61,4886.27,11304.4,9.51273,400.702,-66.3848,2106.65,8244.9,-1453.58,-6.12163,-33.3361,-41.4681,1870.72,-8587.19,166.757,-7.63594,-40.551,-351.048,571.205,10859.5,2215.81,-0.598524,21.1458,-98.7752,-7490.16,-3862.58,-3936.96,24.7173,227.147,-147.443,7027.1,1739.59,1601.66,-36.3342,40.9708,-29.3505
4.095,3496.56,-2675.71,9555.85,9.76051,24.9376,-45.3169,6785.39,4940.7,11376.7,8.84964,403.267,-67.9065,2675.89,8566.66,-870.64,-5.96727,-32.8702,-41.8425,1963.04,-8666.63,115.632,-8.50607,-39.2093,-353.641,849.98,10697.0,2342.37,-2.41561,22.8681,-98.8659,-7496.33,-3840.85,-3671.61,23.284,230.139,-146.293,7090.2,1727.85,1628.96,-36.1284,41.0769,-28.8825
4.096,3258.78,-1214.99,9714.71,8.75447,24.1642,-43.5693,6879.17,4995.13,11449.0,8.18656,405.832,-69.4282,3245.14,8888.43,-287.701,-5.8129,-32.4043,-42.217,2055.36,-8746.07,64.5079,-9.3762,-37.8675,-356.234,1128.75,10534.6,2468.92,-4.23271,24.5904,-98.9566,-7502.51,-3819.12,-3406.26,21.8506,233.132,-145.142,7153.29,1716.1,1656.25,-35.9226,41.1829,-28.4145
4.097,3021.0,245.731,9873.58,7.74843,23.3907,-41.8217,6972.94,5049.56,11521.2,7.52347,408.397,-70.9499,3814.38,9210.19,295.238,-5.65854,-31.9384,-42.5914,2147.69,-8825.51,13.3834,-10.2463,-36.5258,-358.827,1407.53,10372.2,2595.47,-6.0498,26.3127,-99.0473,-7508.68,-3797.39,-3140.91,20.4173,236.125,-143.992,7216.39,1704.35,1683.55,-35.7168,41.289,-27.9465
4.098,2879.08,1493.03,9979.29,6.68915,22.5428,-39.5003,7052.15,5102.9,11577.5,6.92064,410.865,-72.4619,4238.51,9523.48,809.147,-5.46926,-31.3446,-42.8748,2239.25,-8903.42,-42.2369,-11.1188,-35.0908,-361.389,1622.68,10206.8,2709.26,-7.24598,27.5354,-99.3585,-7500.77,-3785.9,-2868.98,18.6829,238.251,-142.646,7276.98,1683.56,1712.79,-35.5499,41.3816,-27.4785
4.099,3072.67,1993.38,9898.96,5.44357,21.4342,-35.1705,7080.35,5152.44,11578.0,6.52867,412.995,-73.9398,4154.74,9807.12,1081.45,-5.15777,-30.3031,-42.8394,2328.16,-8975.96,-113.592,-11.9992,-33.3297,-363.846,1615.14,10031.0,2778.39,-6.26897,27.0099,-100.442,-7443.59,-3810.28,-2574.03,15.895,237.341,-140.615,7328.8,1631.13,1748.88,-35.5192,41.4267,-27.0102
