Time,RFoot_accel.x,RFoot_accel.y,RFoot_accel.z,RFoot_gyro.x,RFoot_gyro.y,RFoot_gyro.z,LFoot_accel.x,LFoot_accel.y,LFoot_accel.z,LFoot_gyro.x,LFoot_gyro.y,LFoot_gyro.z,RShank_accel.x,RShank_accel.y,RShank_accel.z,RShank_gyro.x,RShank_gyro.y,RShank_gyro.z,LShank_accel.x,LShank_accel.y,LShank_accel.z,LShank_gyro.x,LShank_gyro.y,LShank_gyro.z,RThigh_accel.x,RThigh_accel.y,RThigh_accel.z,RThigh_gyro.x,RThigh_gyro.y,RThigh_gyro.z,LThigh_accel.x,LThigh_accel.y,LThigh_accel.z,LThigh_gyro.x,LThigh_gyro.y,LThigh_gyro.z,Pelvis_accel.x,Pelvis_accel.y,Pelvis_accel.z,Pelvis_gyro.x,Pelvis_gyro.y,Pelvis_gyro.z
2.81,4649.42,-5154.48,7796.78,-10.7029,-21.4259,-20.7186,2270.43,3128.86,4513.61,-8.56608,388.365,-70.8217,1739.76,10204.6,-2497.0,1.75378,-54.9767,-30.4172,1033.52,-3394.45,-1541.45,-57.0173,-13.9101,-268.182,2565.02,9383.27,-1284.26,102.307,-108.552,-97.9063,-5573.08,-6319.5,2376.01,-38.5469,149.28,-123.499,5435.7,1154.02,576.488,23.6604,17.4003,-79.792
2.811,4668.95,-5171.7,7786.99,-10.2273,-21.5793,-21.7333,2312.18,3010.88,4657.67,-8.19787,388.721,-71.2945,1784.0,10186.6,-2579.88,1.72343,-54.7517,-30.786,1004.2,-3516.35,-1508.02,-57.8762,-14.0743,-269.825,2652.57,9327.2,-1329.38,102.526,-110.11,-98.1955,-5619.65,-6311.83,2298.09,-35.1779,155.472,-124.577,5402.97,1175.42,571.205,21.8664,17.4104,-78.4108
2.812,4688.47,-5188.91,7777.2,-9.75174,-21.7326,-22.7481,2353.94,2892.89,4801.73,-7.82966,389.077,-71.7674,1828.24,10168.6,-2662.75,1.69308,-54.5267,-31.1547,974.881,-3638.26,-1474.59,-58.7351,-14.2385,-271.467,2740.13,9271.13,-1374.5,102.745,-111.669,-98.4846,-5666.23,-6304.15,2220.18,-31.8089,161.663,-125.655,5370.24,1196.82,565.922,20.0724,17.4205,-77.0297
2.813,4707.99,-5206.13,7767.41,-9.27618,-21.886,-23.7628,2395.69,2774.91,4945.79,-7.46145,389.433,-72.2402,1872.48,10150.6,-2745.62,1.66273,-54.3016,-31.5234,945.562,-3760.17,-1441.17,-59.594,-14.4026,-273.11,2827.68,9215.05,-1419.62,102.965,-113.227,-98.7738,-5712.8,-6296.48,2142.26,-28.4398,167.854,-126.734,5337.51,1218.22,560.64,18.2784,17.4306,-75.6486
2.814,4711.9,-5170.62,7772.6,-9.04841,-22.0906,-24.7575,2410.38,2659.85,5055.72,-6.32749,389.487,-72.7124,1880.23,10138.6,-2784.75,1.6458,-53.8897,-31.8965,940.199,-3889.97,-1386.43,-60.6173,-14.363,-274.932,2896.31,9158.7,-1485.14,103.358,-114.723,-98.9278,-5739.54,-6271.42,2092.35,-25.8427,173.829,-127.692,5275.14,1213.26,559.605,16.9737,17.4316,-74.264
2.815,4708.02,-5108.76,7785.27,-8.94453,-22.3207,-25.7422,2411.53,2546.26,5148.6,-4.81065,389.39,-73.1843,1869.74,10129.4,-2802.01,1.63558,-53.3842,-32.2716,946.814,-4023.7,-1321.04,-61.7228,-14.2215,-276.843,2955.47,9102.21,-1560.85,103.838,-116.189,-99.0143,-5756.37,-6237.68,2056.44,-23.6316,179.696,-128.591,5197.96,1195.12,560.694,15.9135,17.4281,-72.8778
2.816,4704.13,-5046.9,7797.94,-8.84065,-22.5509,-26.7269,2412.69,2432.66,5241.47,-3.29381,389.293,-73.6561,1859.26,10120.3,-2819.26,1.62537,-52.8787,-32.6468,953.429,-4157.44,-1255.65,-62.8283,-14.08,-278.755,3014.64,9045.71,-1636.56,104.318,-117.654,-99.1008,-5773.2,-6203.93,2020.53,-21.4204,185.563,-129.49,5120.77,1176.97,561.783,14.8533,17.4246,-71.4915
2.817,4700.25,-4985.04,7810.61,-8.73677,-22.7811,-27.7116,2413.84,2319.07,5334.34,-1.77698,389.196,-74.128,1848.77,10111.2,-2836.52,1.61515,-52.3732,-33.022,960.045,-4291.18,-1190.27,-63.9337,-13.9385,-280.666,3073.8,8989.22,-1712.28,104.799,-119.119,-99.1872,-5790.03,-6170.18,1984.63,-19.2092,191.431,-130.389,5043.58,1158.83,562.872,13.7931,17.421,-70.1052
2.818,4692.75,-4915.51,7821.68,-8.74476,-23.0237,-28.6582,2416.98,2206.23,5423.61,-0.0995174,389.063,-74.5937,1825.62,10108.4,-2839.53,1.58758,-51.8859,-33.3834,970.615,-4417.14,-1127.7,-65.0692,-13.8656,-282.594,3122.21,8925.47,-1791.34,105.351,-120.45,-99.2819,-5812.86,-6116.74,1960.92,-17.2063,196.941,-131.176,4973.51,1145.54,557.083,12.6635,17.4289,-68.6714
2.819,4672.6,-4819.13,7827.16,-9.14428,-23.3101,-29.4717,2427.05,2096.02,5500.25,2.14012,388.804,-75.0379,1758.17,10127.6,-2792.71,1.49929,-51.4621,-33.6964,995.03,-4515.91,-1074.99,-66.3094,-14.0327,-284.579,3132.96,8836.31,-1882.13,106.157,-121.308,-99.4053,-5856.69,-5994.37,1979.91,-15.9321,201.206,-131.57,4928.36,1149.21,527.218,11.2908,17.4769,-67.071
