Time,RFoot_accel.x,RFoot_accel.y,RFoot_accel.z,RFoot_gyro.x,RFoot_gyro.y,RFoot_gyro.z,LFoot_accel.x,LFoot_accel.y,LFoot_accel.z,LFoot_gyro.x,LFoot_gyro.y,LFoot_gyro.z,RShank_accel.x,RShank_accel.y,RShank_accel.z,RShank_gyro.x,RShank_gyro.y,RShank_gyro.z,LShank_accel.x,LShank_accel.y,LShank_accel.z,LShank_gyro.x,LShank_gyro.y,LShank_gyro.z,RThigh_accel.x,RThigh_accel.y,RThigh_accel.z,RThigh_gyro.x,RThigh_gyro.y,RThigh_gyro.z,LThigh_accel.x,LThigh_accel.y,LThigh_accel.z,LThigh_gyro.x,LThigh_gyro.y,LThigh_gyro.z,Pelvis_accel.x,Pelvis_accel.y,Pelvis_accel.z,Pelvis_gyro.x,Pelvis_gyro.y,Pelvis_gyro.z
3.81,5991.85,-1447.59,8141.07,-36.465,-66.0342,-23.1876,2254.32,-1167.06,5055.01,-26.547,323.413,93.5972,96.3646,10040.7,-2819.08,15.6572,-74.8405,-9.29273,216.875,-4124.36,-1861.38,-48.1896,67.1197,-235.849,5742.39,10182.9,3139.17,66.1507,12.6916,-180.375,-5982.34,-4807.22,478.883,21.1334,81.6814,-162.349,1551.16,-734.461,3388.99,-2.12736,-40.3662,-15.4253
3.8105,6188.24,-1555.71,8102.78,-37.4964,-65.9344,-23.6904,2265.01,-1217.92,5061.06,-25.6482,323.523,94.3283,60.2562,10035.7,-2894.43,16.0178,-76.15,-9.77051,190.989,-4180.88,-1836.74,-48.4978,66.7331,-236.518,5676.07,10280.4,3254.62,66.1585,10.7294,-179.298,-5855.13,-4720.68,446.038,20.056,82.2536,-162.18,1550.55,-632.112,3383.56,-2.32558,-41.1143,-15.1277
3.811,6384.64,-1663.83,8064.49,-38.5278,-65.8345,-24.1933,2275.69,-1268.79,5067.11,-24.7494,323.633,95.0594,24.1477,10030.7,-2969.78,16.3785,-77.4595,-10.2483,165.103,-4237.4,-1812.11,-48.806,66.3465,-237.187,5609.74,10377.9,3370.07,66.1663,8.76728,-178.222,-5727.91,-4634.13,413.193,18.9785,82.8259,-162.011,1549.95,-529.763,3378.14,-2.52379,-41.8623,-14.8301
3.8115,6581.04,-1771.96,8026.2,-39.5592,-65.7346,-24.6961,2286.38,-1319.65,5073.16,-23.8506,323.744,95.7905,-11.9607,10025.7,-3045.13,16.7392,-78.7689,-10.7261,139.217,-4293.92,-1787.47,-49.1142,65.9599,-237.856,5543.42,10475.4,3485.52,66.1742,6.80513,-177.145,-5600.69,-4547.59,380.348,17.9011,83.3981,-161.842,1549.34,-427.414,3372.72,-2.722,-42.6104,-14.5325
3.812,6777.44,-1880.08,7987.91,-40.5906,-65.6348,-25.199,2297.06,-1370.52,5079.22,-22.9518,323.854,96.5216,-48.0692,10020.6,-3120.48,17.0998,-80.0784,-11.2039,113.331,-4350.44,-1762.84,-49.4224,65.5733,-238.524,5477.1,10572.9,3600.97,66.182,4.84297,-176.069,-5473.47,-4461.05,347.503,16.8236,83.9703,-161.673,1548.74,-325.066,3367.3,-2.92021,-43.3584,-14.2349
3.8125,6973.84,-1988.2,7949.62,-41.6219,-65.5349,-25.7018,2307.75,-1421.38,5085.27,-22.053,323.964,97.2527,-84.1777,10015.6,-3195.83,17.4605,-81.3879,-11.6816,87.4447,-4406.96,-1738.2,-49.7306,65.1867,-239.193,5410.78,10670.5,3716.42,66.1898,2.88082,-174.992,-5346.25,-4374.51,314.658,15.7462,84.5426,-161.504,1548.14,-222.717,3361.87,-3.11842,-44.1065,-13.9373
3.813,7170.24,-2096.32,7911.33,-42.6533,-65.435,-26.2047,2318.43,-1472.25,5091.32,-21.1542,324.075,97.9838,-120.286,10010.6,-3271.18,17.8212,-82.6974,-12.1594,61.5586,-4463.48,-1713.57,-50.0389,64.8001,-239.862,5344.45,10768.0,3831.87,66.1977,0.918671,-173.916,-5219.04,-4287.96,281.814,14.6687,85.1148,-161.335,1547.53,-120.368,3356.45,-3.31663,-44.8546,-13.6397
3.8135,7321.4,-2195.06,7896.54,-43.325,-65.3243,-26.6693,2330.45,-1515.48,5102.62,-20.2248,324.159,98.6629,-129.336,10028.7,-3321.54,18.0227,-83.9139,-12.6784,46.6868,-4514.33,-1684.62,-50.3593,64.3948,-240.555,5255.44,10846.5,3921.11,66.1706,-1.10267,-172.88,-5114.16,-4217.39,238.821,13.5635,85.8627,-161.228,1537.62,-39.0576,3360.0,-3.49844,-45.6175,-13.4211
3.814,7382.07,-2275.05,7928.77,-43.2771,-65.192,-27.0576,2345.12,-1543.45,5124.42,-19.2344,324.191,99.2381,-84.27,10093.2,-3321.94,17.906,-84.9445,-13.2796,53.8434,-4553.82,-1647.04,-50.7041,63.9521,-241.298,5121.04,10887.0,3957.93,66.0737,-3.24239,-171.926,-5053.96,-4178.75,175.534,12.4029,86.9618,-161.245,1509.1,0.175855,3381.49,-3.64745,-46.41,-13.3605
3.8145,7442.75,-2355.03,7961.0,-43.2292,-65.0596,-27.4459,2359.79,-1571.42,5146.21,-18.244,324.222,99.8133,-39.2037,10157.6,-3322.33,17.7893,-85.9751,-13.8808,61.0,-4593.32,-1609.47,-51.049,63.5094,-242.041,4986.63,10927.5,3994.75,65.9768,-5.3821,-170.972,-4993.76,-4140.11,112.247,11.2422,88.0609,-161.263,1480.57,39.4093,3402.98,-3.79646,-47.2026,-13.2998
3.815,7503.43,-2435.01,7993.23,-43.1813,-64.9273,-27.8342,2374.47,-1599.39,5168.01,-17.2535,324.254,100.388,5.86263,10222.1,-3322.72,17.6726,-87.0056,-14.4821,68.1567,-4632.82,-1571.9,-51.3938,63.0667,-242.784,4852.23,10968.0,4031.57,65.8799,-7.52182,-170.018,-4933.57,-4101.47,48.9605,10.0815,89.1599,-161.28,1452.04,78.6428,3424.48,-3.94548,-47.9952,-13.2392
3.8155,7564.1,-2514.99,8025.46,-43.1334,-64.7949,-28.2225,2389.14,-1627.36,5189.8,-16.2631,324.286,100.964,50.929,10286.5,-3323.11,17.5559,-88.0362,-15.0833,75.3133,-4672.31,-1534.32,-51.7386,62.624,-243.527,4717.83,11008.6,4068.4,65.7831,-9.66154,-169.065,-4873.37,-4062.83,-14.3265,8.92077,90.259,-161.297,1423.52,117.876,3445.97,-4.09449,-48.7877,-13.1785
3.816,7624.78,-2594.97,8057.69,-43.0855,-64.6626,-28.6108,2403.81,-1655.33,5211.6,-15.2727,324.317,101.539,95.9953,10350.9,-3323.5,17.4392,-89.0668,-15.6845,82.4699,-4711.81,-1496.75,-52.0835,62.1813,-244.27,4583.43,11049.1,4105.22,65.6862,-11.8013,-168.111,-4813.17,-4024.19,-77.6135,7.76007,91.3581,-161.315,1394.99,157.11,3467.46,-4.2435,-49.5803,-13.1179
3.8165,7685.46,-2674.95,8089.92,-43.0377,-64.5302,-28.9991,2418.48,-1683.3,5233.39,-14.2822,324.349,102.114,141.062,10415.4,-3323.89,17.3225,-90.0973,-16.2858,89.6266,-4751.31,-1459.17,-52.4283,61.7385,-245.013,4449.02,11089.6,4142.04,65.5893,-13.941,-167.157,-4752.97,-3985.55,-140.901,6.59938,92.4572,-161.332,1366.47,196.343,3488.95,-4.39251,-50.3729,-13.0573
3.817,7746.13,-2754.93,8122.15,-42.9898,-64.3979,-29.3874,2433.16,-1711.27,5255.18,-13.2918,324.381,102.689,186.128,10479.8,-3324.28,17.2058,-91.1279,-16.887,96.7832,-4790.8,-1421.6,-52.7732,61.2958,-245.757,4314.62,11130.1,4178.86,65.4924,-16.0807,-166.203,-4692.78,-3946.91,-204.187,5.43868,93.5563,-161.349,1337.94,235.577,3510.45,-4.54152,-51.1655,-12.9966
