Time,RFoot_accel.x,RFoot_accel.y,RFoot_accel.z,RFoot_gyro.x,RFoot_gyro.y,RFoot_gyro.z,LFoot_accel.x,LFoot_accel.y,LFoot_accel.z,LFoot_gyro.x,LFoot_gyro.y,LFoot_gyro.z,RShank_accel.x,RShank_accel.y,RShank_accel.z,RShank_gyro.x,RShank_gyro.y,RShank_gyro.z,LShank_accel.x,LShank_accel.y,LShank_accel.z,LShank_gyro.x,LShank_gyro.y,LShank_gyro.z,RThigh_accel.x,RThigh_accel.y,RThigh_accel.z,RThigh_gyro.x,RThigh_gyro.y,RThigh_gyro.z,LThigh_accel.x,LThigh_accel.y,LThigh_accel.z,LThigh_gyro.x,LThigh_gyro.y,LThigh_gyro.z,Pelvis_accel.x,Pelvis_accel.y,Pelvis_accel.z,Pelvis_gyro.x,Pelvis_gyro.y,Pelvis_gyro.z
0.0,4873.79,-1352.94,8369.67,2.05277,1.6775,0.00804344,4706.8,98.0869,8547.6,0.0879944,-1.57753,-0.79326,-64.444,9698.06,-1190.04,-0.00620365,3.28267,0.134447,350.709,-9929.34,-1403.5,-0.360875,-1.67175,-2.32088,-1169.23,9636.67,-9.57681,0.0828469,10.4367,-0.812857,793.124,-9633.91,-2131.89,0.580446,-6.95105,-3.82194,9074.07,-1031.07,2724.77,14.5827,-9.29717,5.28768
0.001,4865.14,-1334.58,8375.98,2.09474,1.63737,0.0794264,4718.88,88.5261,8571.91,0.150725,-1.5453,-0.790997,-57.3723,9710.37,-1198.2,0.0201947,3.16045,0.0316457,353.965,-9904.32,-1380.61,-0.284984,-1.60753,-2.22044,-1153.75,9622.33,-6.84279,0.0377941,10.3057,-0.85122,779.174,-9663.54,-2139.8,0.704643,-6.89933,-3.87919,9078.08,-1034.13,2740.46,14.5137,-9.50274,5.28938
0.002,4856.49,-1316.22,8382.3,2.13671,1.59724,0.150809,4730.97,78.9653,8596.21,0.213456,-1.51308,-0.788734,-50.3006,9722.68,-1206.37,0.046593,3.03823,-0.071156,357.221,-9879.31,-1357.72,-0.209093,-1.54331,-2.12,-1138.26,9607.99,-4.10877,-0.00725864,10.1748,-0.889582,765.225,-9693.18,-2147.7,0.82884,-6.84761,-3.93643,9082.1,-1037.19,2756.15,14.4447,-9.7083,5.29107
0.003,4847.85,-1297.86,8388.61,2.17868,1.55712,0.222192,4743.06,69.4045,8620.51,0.276187,-1.48086,-0.786472,-43.2289,9734.99,-1214.54,0.0729913,2.91601,-0.173958,360.477,-9854.29,-1334.83,-0.133203,-1.47909,-2.01956,-1122.78,9593.65,-1.37475,-0.0523114,10.0439,-0.927945,751.276,-9722.81,-2155.61,0.953037,-6.79589,-3.99368,9086.12,-1040.25,2771.84,14.3758,-9.91386,5.29277
0.004,4839.2,-1279.5,8394.92,2.22065,1.51699,0.293575,4755.14,59.8437,8644.82,0.338918,-1.44863,-0.784209,-36.1571,9747.3,-1222.71,0.0993896,2.79379,-0.276759,363.733,-9829.28,-1311.95,-0.0573117,-1.41487,-1.91913,-1107.29,9579.31,1.35927,-0.0973642,9.91295,-0.966308,737.326,-9752.44,-2163.52,1.07723,-6.74417,-4.05092,9090.13,-1043.31,2787.53,14.3068,-10.1194,5.29446
0.005,4832.01,-1264.19,8396.83,2.22032,1.4992,0.353286,4755.68,40.5942,8634.63,0.285592,-1.39162,-0.770596,-37.4495,9752.97,-1223.01,0.0702575,2.78191,-0.363099,367.607,-9822.64,-1299.53,-0.121614,-1.35978,-1.86015,-1104.56,9570.79,13.1135,-0.00441703,9.76138,-0.980675,741.665,-9767.13,-2169.6,1.06971,-6.66865,-4.02645,9091.72,-1048.5,2798.07,14.2093,-10.3795,5.32958
0.006,4825.99,-1251.33,8395.24,2.18615,1.49928,0.403659,4746.97,13.5938,8596.85,0.13942,-1.31478,-0.747902,-45.433,9753.32,-1217.01,-0.00329887,2.85831,-0.436269,371.975,-9830.69,-1295.5,-0.298072,-1.312,-1.83435,-1112.03,9566.91,32.0839,0.19893,9.5933,-0.975845,760.634,-9769.86,-2174.23,0.956799,-6.5741,-3.93662,9091.38,-1055.4,2804.48,14.0889,-10.6831,5.39143
0.007,4819.97,-1238.47,8393.64,2.15197,1.49935,0.454031,4738.26,-13.4066,8559.06,-0.00675238,-1.23794,-0.725208,-53.4166,9753.68,-1211.01,-0.0768553,2.93471,-0.509439,376.343,-9838.74,-1291.47,-0.474529,-1.26422,-1.80855,-1119.5,9563.04,51.0543,0.402277,9.42522,-0.971016,779.603,-9772.59,-2178.85,0.843891,-6.47955,-3.84678,9091.04,-1062.29,2810.89,13.9686,-10.9867,5.45328
0.008,4813.95,-1225.61,8392.04,2.11779,1.49943,0.504404,4729.55,-40.407,8521.28,-0.152925,-1.1611,-0.702514,-61.4002,9754.03,-1205.02,-0.150412,3.01111,-0.582609,380.711,-9846.8,-1287.44,-0.650987,-1.21643,-1.78275,-1126.97,9559.17,70.0247,0.605624,9.25714,-0.966186,798.572,-9775.32,-2183.48,0.730984,-6.38499,-3.75694,9090.69,-1069.19,2817.3,13.8482,-11.2903,5.51513
0.009,4808.89,-1215.08,8389.95,2.08451,1.50666,0.54519,4722.81,-62.5338,8490.74,-0.277157,-1.09263,-0.685877,-69.8111,9754.34,-1196.72,-0.21365,3.07985,-0.65537,382.647,-9853.73,-1282.41,-0.794841,-1.15877,-1.75688,-1134.48,9557.84,85.4084,0.772131,9.0987,-0.950134,812.018,-9777.98,-2185.39,0.615242,-6.28122,-3.68115,9089.93,-1074.7,2822.24,13.717,-11.584,5.56872
