Time,RFoot_accel.x,RFoot_accel.y,RFoot_accel.z,RFoot_gyro.x,RFoot_gyro.y,RFoot_gyro.z,LFoot_accel.x,LFoot_accel.y,LFoot_accel.z,LFoot_gyro.x,LFoot_gyro.y,LFoot_gyro.z,RShank_accel.x,RShank_accel.y,RShank_accel.z,RShank_gyro.x,RShank_gyro.y,RShank_gyro.z,LShank_accel.x,LShank_accel.y,LShank_accel.z,LShank_gyro.x,LShank_gyro.y,LShank_gyro.z,RThigh_accel.x,RThigh_accel.y,RThigh_accel.z,RThigh_gyro.x,RThigh_gyro.y,RThigh_gyro.z,LThigh_accel.x,LThigh_accel.y,LThigh_accel.z,LThigh_gyro.x,LThigh_gyro.y,LThigh_gyro.z,Pelvis_accel.x,Pelvis_accel.y,Pelvis_accel.z,Pelvis_gyro.x,Pelvis_gyro.y,Pelvis_gyro.z
0.0,4969.22,-1873.18,8080.54,1.79573,0.485252,1.62429,4849.07,86.3646,8393.57,-0.22779,-0.160695,-1.25298,758.694,9540.98,-2210.79,2.53074,-6.72894,4.80567,596.773,-9920.34,-1452.02,-2.35399,-0.398832,-3.21141,-1983.83,9601.24,-478.472,1.48352,-5.26754,-3.13027,556.714,-9660.48,-1991.73,-8.69214,2.70575,3.74952,8780.75,-754.035,3909.97,-4.41511,5.88578,0.388671
0.001,4966.34,-1867.77,8086.16,1.90983,0.411886,1.57819,4848.67,93.1754,8391.21,-0.208908,-0.130458,-1.27311,739.348,9542.5,-2195.37,2.39056,-6.84797,4.82561,606.168,-9929.53,-1416.94,-2.43423,-0.328782,-3.22925,-1961.73,9594.53,-458.921,1.4238,-5.2446,-3.0955,567.523,-9664.95,-1982.99,-8.67451,2.77894,3.83905,8745.88,-738.393,3904.78,-4.57444,5.85469,0.203125
0.002,4963.46,-1862.37,8091.78,2.02394,0.33852,1.53208,4848.26,99.9862,8388.86,-0.190027,-0.100222,-1.29324,720.002,9544.02,-2179.96,2.25038,-6.967,4.84555,615.564,-9938.73,-1381.86,-2.51446,-0.258731,-3.24708,-1939.63,9587.81,-439.369,1.36409,-5.22167,-3.06072,578.332,-9669.42,-1974.25,-8.65689,2.85213,3.92858,8711.0,-722.751,3899.58,-4.73377,5.8236,0.0175784
0.003,4960.58,-1856.96,8097.4,2.13804,0.265155,1.48597,4847.85,106.797,8386.5,-0.171145,-0.0699849,-1.31337,700.655,9545.54,-2164.55,2.11021,-7.08603,4.86549,624.959,-9947.92,-1346.78,-2.5947,-0.188681,-3.26491,-1917.53,9581.1,-419.818,1.30438,-5.19873,-3.02594,589.141,-9673.89,-1965.51,-8.63926,2.92532,4.01812,8676.13,-707.109,3894.39,-4.8931,5.79251,-0.167968
0.004,4957.69,-1851.56,8103.02,2.25214,0.191789,1.43986,4847.45,113.608,8384.14,-0.152264,-0.0397481,-1.33349,681.309,9547.06,-2149.14,1.97003,-7.20507,4.88543,634.354,-9957.12,-1311.7,-2.67494,-0.11863,-3.28274,-1895.43,9574.39,-400.267,1.24466,-5.1758,-2.99116,599.95,-9678.36,-1956.77,-8.62163,2.99852,4.10765,8641.25,-691.468,3889.19,-5.05243,5.76142,-0.353514
0.005,4952.77,-1848.57,8110.47,2.35067,0.169858,1.41751,4842.75,106.291,8393.06,-0.165968,-0.0898685,-1.35237,681.522,9539.09,-2153.14,1.90492,-7.25657,4.8585,649.134,-9949.72,-1324.01,-2.77287,-0.0986512,-3.22613,-1866.9,9553.75,-392.791,1.21395,-5.18491,-3.03183,603.555,-9684.45,-1959.82,-8.64399,3.10356,4.25854,8629.03,-698.901,3890.14,-5.16489,5.73519,-0.659498
0.006,4946.21,-1847.5,8119.39,2.43674,0.189076,1.41416,4834.62,87.6711,8411.01,-0.205741,-0.204275,-1.37024,697.383,9523.53,-2172.66,1.89986,-7.25405,4.79407,668.223,-9929.05,-1374.25,-2.88495,-0.118729,-3.10997,-1833.21,9521.99,-394.974,1.20644,-5.21966,-3.13284,601.395,-9691.83,-1972.3,-8.69833,3.23408,4.45852,8634.92,-724.793,3896.01,-5.23986,5.71286,-1.06183
0.007,4939.65,-1846.44,8128.31,2.52281,0.208293,1.41081,4826.49,69.0516,8428.96,-0.245514,-0.318681,-1.38812,713.243,9507.97,-2192.19,1.89481,-7.25154,4.72964,687.312,-9908.37,-1424.49,-2.99703,-0.138807,-2.9938,-1799.53,9490.22,-397.157,1.19893,-5.25441,-3.23385,599.235,-9699.21,-1984.77,-8.75267,3.36461,4.6585,8640.82,-750.686,3901.88,-5.31482,5.69052,-1.46417
0.008,4933.1,-1845.38,8137.23,2.60888,0.227511,1.40746,4818.35,50.432,8446.92,-0.285287,-0.433087,-1.40599,729.103,9492.41,-2211.72,1.88975,-7.24902,4.66521,706.4,-9887.7,-1474.72,-3.10912,-0.158885,-2.87763,-1765.85,9458.46,-399.34,1.19142,-5.28916,-3.33487,597.076,-9706.6,-1997.25,-8.80702,3.49513,4.85848,8646.71,-776.578,3907.74,-5.38979,5.66819,-1.8665
0.009,4927.12,-1844.28,8146.17,2.68807,0.251671,1.41738,4810.68,34.2162,8463.82,-0.31324,-0.53975,-1.43301,744.102,9478.94,-2229.19,1.88216,-7.26222,4.59449,725.219,-9871.05,-1515.76,-3.20199,-0.168025,-2.77957,-1735.28,9432.84,-402.824,1.18813,-5.33057,-3.42946,596.834,-9713.55,-2008.45,-8.86802,3.6215,5.04695,8653.51,-799.066,3912.48,-5.47407,5.63146,-2.24937
