Time,RFoot_accel.x,RFoot_accel.y,RFoot_accel.z,RFoot_gyro.x,RFoot_gyro.y,RFoot_gyro.z,LFoot_accel.x,LFoot_accel.y,LFoot_accel.z,LFoot_gyro.x,LFoot_gyro.y,LFoot_gyro.z,RShank_accel.x,RShank_accel.y,RShank_accel.z,RShank_gyro.x,RShank_gyro.y,RShank_gyro.z,LShank_accel.x,LShank_accel.y,LShank_accel.z,LShank_gyro.x,LShank_gyro.y,LShank_gyro.z,RThigh_accel.x,RThigh_accel.y,RThigh_accel.z,RThigh_gyro.x,RThigh_gyro.y,RThigh_gyro.z,LThigh_accel.x,LThigh_accel.y,LThigh_accel.z,LThigh_gyro.x,LThigh_gyro.y,LThigh_gyro.z,Pelvis_accel.x,Pelvis_accel.y,Pelvis_accel.z,Pelvis_gyro.x,Pelvis_gyro.y,Pelvis_gyro.z
0.0,5128.52,-3215.85,7555.9,0.409088,1.2565,-0.3051,4729.81,3752.92,7530.11,-1.18611,-0.454568,-0.787097,699.826,9458.03,-2404.92,-2.89252,-1.27413,-0.0291551,985.664,-9592.23,-2382.14,-1.3995,1.00009,2.70469,-789.674,9390.06,-2176.84,-0.809172,0.85428,-0.462516,-2080.91,-9696.11,-1663.46,-4.58172,4.62187,0.411485,9504.8,487.611,2310.13,-0.445333,1.04291,-2.80135
0.001,5129.54,-3227.26,7574.04,0.374201,1.25482,-0.288287,4719.55,3734.19,7543.89,-1.13516,-0.501652,-0.867964,715.768,9463.4,-2408.52,-2.82303,-1.26385,-0.0630574,990.927,-9608.5,-2374.47,-1.32174,1.07339,2.90996,-775.145,9392.37,-2181.27,-0.838933,0.90134,-0.495734,-2078.81,-9695.54,-1691.58,-4.59561,4.58687,0.379155,9527.75,489.819,2276.69,-0.475889,0.982819,-2.78887
0.002,5130.57,-3238.68,7592.18,0.339315,1.25314,-0.271475,4709.29,3715.45,7557.67,-1.0842,-0.548736,-0.948832,731.71,9468.78,-2412.12,-2.75355,-1.25357,-0.0969596,996.189,-9624.77,-2366.8,-1.24398,1.14669,3.11524,-760.616,9394.67,-2185.7,-0.868695,0.9484,-0.528952,-2076.71,-9694.97,-1719.69,-4.6095,4.55187,0.346824,9550.69,492.027,2243.25,-0.506445,0.922726,-2.7764
0.003,5131.59,-3250.09,7610.32,0.304428,1.25146,-0.254662,4699.04,3696.72,7571.45,-1.03324,-0.59582,-1.0297,747.652,9474.15,-2415.72,-2.68407,-1.24328,-0.130862,1001.45,-9641.04,-2359.13,-1.16623,1.21999,3.32051,-746.087,9396.98,-2190.13,-0.898456,0.99546,-0.56217,-2074.61,-9694.41,-1747.8,-4.62339,4.51687,0.314493,9573.64,494.235,2209.81,-0.537001,0.862634,-2.76392
0.004,5132.61,-3261.5,7628.47,0.269542,1.24978,-0.23785,4688.78,3677.98,7585.23,-0.982283,-0.642905,-1.11057,763.594,9479.53,-2419.32,-2.61459,-1.233,-0.164764,1006.71,-9657.31,-2351.46,-1.08847,1.29329,3.52578,-731.558,9399.29,-2194.56,-0.928217,1.04252,-0.595388,-2072.51,-9693.84,-1775.91,-4.63728,4.48187,0.282162,9596.59,496.443,2176.37,-0.567557,0.802541,-2.75145
0.005,5126.07,-3277.71,7644.7,0.219868,1.23706,-0.22369,4685.04,3669.84,7594.18,-1.00085,-0.660097,-1.07452,768.415,9467.02,-2426.12,-2.55607,-1.22299,-0.134519,1010.38,-9663.19,-2336.17,-1.10386,1.30565,3.50362,-722.829,9406.99,-2191.15,-0.932481,1.08832,-0.620684,-2085.19,-9695.42,-1790.84,-4.65614,4.48009,0.284552,9599.89,499.63,2179.16,-0.53036,0.845198,-2.7459
0.006,5113.48,-3297.75,7659.42,0.158366,1.21549,-0.211651,4686.51,3670.16,7599.26,-1.07503,-0.653378,-0.944937,764.338,9440.19,-2435.49,-2.50633,-1.2132,-0.0529572,1012.77,-9660.77,-2314.78,-1.19378,1.26924,3.29951,-718.74,9419.01,-2181.47,-0.916348,1.13311,-0.639642,-2109.69,-9698.73,-1795.24,-4.67899,4.50488,0.314718,9587.47,503.601,2210.92,-0.438961,0.970055,-2.7459
0.007,5100.88,-3317.79,7674.14,0.0968629,1.19393,-0.199613,4687.99,3670.48,7604.34,-1.14922,-0.646658,-0.815357,760.261,9413.37,-2444.86,-2.45658,-1.20341,0.0286051,1015.17,-9658.36,-2293.4,-1.2837,1.23283,3.0954,-714.652,9431.03,-2171.79,-0.900215,1.1779,-0.6586,-2134.2,-9702.04,-1799.63,-4.70184,4.52967,0.344884,9575.05,507.572,2242.68,-0.347562,1.09491,-2.7459
0.008,5088.29,-3337.83,7688.86,0.0353602,1.17236,-0.187574,4689.46,3670.81,7609.42,-1.2234,-0.639938,-0.685776,756.184,9386.55,-2454.23,-2.40684,-1.19362,0.110167,1017.56,-9655.94,-2272.01,-1.37362,1.19643,2.89129,-710.563,9443.05,-2162.11,-0.884081,1.22269,-0.677559,-2158.7,-9705.34,-1804.03,-4.7247,4.55446,0.375051,9562.63,511.543,2274.43,-0.256163,1.21977,-2.7459
0.009,5079.95,-3355.34,7699.96,-0.0138721,1.15895,-0.177149,4690.71,3669.37,7615.76,-1.29046,-0.637947,-0.56459,754.255,9363.1,-2461.7,-2.37106,-1.17102,0.174,1019.1,-9652.11,-2256.39,-1.46292,1.17608,2.7244,-706.786,9453.79,-2154.21,-0.865624,1.25721,-0.694005,-2179.19,-9707.98,-1807.51,-4.75324,4.57852,0.382905,9552.46,514.477,2301.75,-0.15983,1.3188,-2.74728
