Time,RFoot_accel.x,RFoot_accel.y,RFoot_accel.z,RFoot_gyro.x,RFoot_gyro.y,RFoot_gyro.z,LFoot_accel.x,LFoot_accel.y,LFoot_accel.z,LFoot_gyro.x,LFoot_gyro.y,LFoot_gyro.z,RShank_accel.x,RShank_accel.y,RShank_accel.z,RShank_gyro.x,RShank_gyro.y,RShank_gyro.z,LShank_accel.x,LShank_accel.y,LShank_accel.z,LShank_gyro.x,LShank_gyro.y,LShank_gyro.z,RThigh_accel.x,RThigh_accel.y,RThigh_accel.z,RThigh_gyro.x,RThigh_gyro.y,RThigh_gyro.z,LThigh_accel.x,LThigh_accel.y,LThigh_accel.z,LThigh_gyro.x,LThigh_gyro.y,LThigh_gyro.z,Pelvis_accel.x,Pelvis_accel.y,Pelvis_accel.z,Pelvis_gyro.x,Pelvis_gyro.y,Pelvis_gyro.z
0.0,5217.55,-3290.13,7626.21,-1.70223,0.394323,1.06093,4728.44,4016.94,7403.03,-3.81243,-0.70041,-1.55557,658.554,9535.37,-2179.26,1.28142,1.03583,3.38472,780.51,-9416.8,-2846.45,0.159941,0.890097,-3.23198,-208.183,9501.21,-1915.24,-0.375594,-0.376251,3.22679,-2352.56,-9618.13,-1814.91,-1.92725,7.89284,-0.326358,9770.34,118.676,1349.23,-3.3372,3.86403,1.6335
0.001,5190.2,-3286.93,7628.12,-1.74555,0.334473,0.959516,4743.45,3995.03,7411.64,-3.62462,-0.57576,-1.55613,653.646,9546.27,-2167.26,1.29531,1.00805,3.43336,781.688,-9433.9,-2862.94,0.0839235,0.89217,-3.25502,-213.814,9502.27,-1919.9,-0.348571,-0.25262,3.26926,-2352.63,-9606.02,-1810.05,-2.03814,7.84528,-0.335305,9771.21,134.396,1351.63,-3.27635,4.04031,1.69513
0.002,5162.86,-3283.74,7630.03,-1.78887,0.274622,0.858101,4758.45,3973.13,7420.25,-3.4368,-0.45111,-1.55669,648.739,9557.18,-2155.26,1.30921,0.980279,3.48201,782.866,-9451.0,-2879.42,0.00790588,0.894244,-3.27807,-219.446,9503.33,-1924.57,-0.321547,-0.128988,3.31173,-2352.71,-9593.92,-1805.2,-2.14902,7.79772,-0.344251,9772.08,150.117,1354.03,-3.21551,4.2166,1.75676
0.003,5135.51,-3280.54,7631.94,-1.83219,0.214772,0.756687,4773.45,3951.22,7428.85,-3.24899,-0.32646,-1.55725,643.832,9568.09,-2143.27,1.3231,0.952503,3.53065,784.044,-9468.1,-2895.9,-0.0681118,0.896317,-3.30112,-225.077,9504.38,-1929.23,-0.294524,-0.00535733,3.3542,-2352.78,-9581.82,-1800.34,-2.25991,7.75017,-0.353198,9772.95,165.837,1356.44,-3.15467,4.39289,1.81839
0.004,5108.17,-3277.35,7633.85,-1.87551,0.154921,0.655273,4788.45,3929.31,7437.46,-3.06117,-0.20181,-1.55781,638.924,9579.0,-2131.27,1.33699,0.924728,3.57929,785.222,-9485.21,-2912.39,-0.144129,0.89839,-3.32417,-230.708,9505.44,-1933.9,-0.2675,0.118274,3.39667,-2352.85,-9569.72,-1795.48,-2.3708,7.70261,-0.362144,9773.82,181.558,1358.84,-3.09382,4.56917,1.88001
0.005,5095.15,-3276.56,7642.83,-1.86691,0.0924683,0.61936,4802.23,3928.2,7455.56,-2.76781,-0.148548,-1.65649,635.871,9576.79,-2125.37,1.3349,0.929663,3.59264,793.555,-9492.49,-2925.17,-0.263584,0.968192,-3.40926,-237.434,9504.45,-1940.28,-0.259855,0.18092,3.3947,-2346.16,-9563.38,-1785.97,-2.48741,7.6671,-0.408689,9769.7,196.79,1370.93,-3.06251,4.71168,1.9163
0.006,5093.6,-3277.7,7657.47,-1.81678,0.0279332,0.635847,4815.03,3943.71,7481.27,-2.39002,-0.152395,-1.83368,634.3,9564.08,-2124.36,1.32001,0.960766,3.57775,807.614,-9491.92,-2934.98,-0.417787,1.09217,-3.54399,-245.036,9501.82,-1948.05,-0.267713,0.194778,3.35717,-2334.06,-9561.65,-1772.74,-2.60861,7.64123,-0.485314,9761.59,211.631,1390.76,-3.05482,4.82717,1.93231
0.007,5092.05,-3278.85,7672.1,-1.76665,-0.0366018,0.652334,4827.82,3959.23,7506.97,-2.01222,-0.156242,-2.01086,632.729,9551.37,-2123.35,1.30512,0.99187,3.56286,821.672,-9491.34,-2944.79,-0.571991,1.21616,-3.67873,-252.639,9499.19,-1955.82,-0.275571,0.208636,3.31964,-2321.96,-9559.92,-1759.51,-2.72981,7.61535,-0.561938,9753.48,226.473,1410.6,-3.04713,4.94265,1.94831
0.008,5090.5,-3279.99,7686.74,-1.71652,-0.101137,0.668822,4840.62,3974.75,7532.67,-1.63442,-0.160089,-2.18805,631.158,9538.66,-2122.34,1.29023,1.02297,3.54797,835.73,-9490.77,-2954.6,-0.726195,1.34014,-3.81346,-260.241,9496.56,-1963.59,-0.28343,0.222495,3.28211,-2309.86,-9558.19,-1746.28,-2.85101,7.58948,-0.638562,9745.38,241.314,1430.43,-3.03945,5.05813,1.96432
0.009,5089.83,-3279.13,7699.37,-1.67376,-0.143862,0.692726,4850.79,3989.68,7558.17,-1.22707,-0.188651,-2.36811,629.756,9527.34,-2121.49,1.27405,1.05782,3.53826,849.011,-9490.93,-2962.72,-0.878911,1.45901,-3.94106,-266.737,9493.2,-1969.34,-0.290646,0.235301,3.24762,-2297.56,-9557.47,-1733.84,-2.9524,7.55674,-0.714691,9738.11,254.188,1448.43,-3.03002,5.16501,1.97701
