Time,RFoot_accel.x,RFoot_accel.y,RFoot_accel.z,RFoot_gyro.x,RFoot_gyro.y,RFoot_gyro.z,LFoot_accel.x,LFoot_accel.y,LFoot_accel.z,LFoot_gyro.x,LFoot_gyro.y,LFoot_gyro.z,RShank_accel.x,RShank_accel.y,RShank_accel.z,RShank_gyro.x,RShank_gyro.y,RShank_gyro.z,LShank_accel.x,LShank_accel.y,LShank_accel.z,LShank_gyro.x,LShank_gyro.y,LShank_gyro.z,RThigh_accel.x,RThigh_accel.y,RThigh_accel.z,RThigh_gyro.x,RThigh_gyro.y,RThigh_gyro.z,LThigh_accel.x,LThigh_accel.y,LThigh_accel.z,LThigh_gyro.x,LThigh_gyro.y,LThigh_gyro.z,Pelvis_accel.x,Pelvis_accel.y,Pelvis_accel.z,Pelvis_gyro.x,Pelvis_gyro.y,Pelvis_gyro.z
0.0,4428.7,-3060.37,8135.11,0.469456,0.201764,0.233501,4378.18,2858.68,8105.72,-0.67799,-1.60006,-1.17961,-325.342,9627.87,-1568.82,-3.02943,1.56548,0.467644,235.11,-9919.3,-590.29,-1.32566,-0.561357,2.54146,-1799.58,9137.13,-2585.16,-2.55371,8.63379,0.61568,-3596.94,-9105.47,-1145.07,-5.09381,2.59199,-1.24955,8570.24,1242.46,4601.66,-6.0795,6.84709,-2.4376
0.001,4418.01,-3075.8,8123.63,0.494673,0.146277,0.214584,4397.26,2862.29,8086.95,-0.69184,-1.6179,-1.31129,-347.856,9637.46,-1589.39,-3.13423,1.6483,0.509603,251.578,-9915.55,-585.179,-1.29876,-0.57206,2.63129,-1825.07,9150.64,-2572.65,-2.39458,8.61391,0.681606,-3613.01,-9111.16,-1150.13,-5.04722,2.58572,-1.25,8561.08,1245.7,4597.38,-5.97153,6.88872,-2.39046
0.002,4407.32,-3091.24,8112.15,0.51989,0.0907903,0.195668,4416.35,2865.9,8068.18,-0.70569,-1.63574,-1.44297,-370.369,9647.06,-1609.96,-3.23904,1.73113,0.551562,268.046,-9911.79,-580.069,-1.27186,-0.582763,2.72113,-1850.56,9164.15,-2560.13,-2.23545,8.59403,0.747532,-3629.08,-9116.86,-1155.19,-5.00062,2.57945,-1.25045,8551.92,1248.93,4593.1,-5.86355,6.93035,-2.34333
0.003,4396.64,-3106.68,8100.67,0.545107,0.0353035,0.176751,4435.43,2869.51,8049.41,-0.71954,-1.65357,-1.57465,-392.883,9656.65,-1630.53,-3.34385,1.81396,0.593522,284.515,-9908.04,-574.958,-1.24496,-0.593467,2.81096,-1876.05,9177.66,-2547.61,-2.07633,8.57416,0.813458,-3645.15,-9122.56,-1160.26,-4.95402,2.57318,-1.2509,8542.77,1252.17,4588.82,-5.75558,6.97198,-2.2962
0.004,4385.95,-3122.12,8089.2,0.570324,-0.0201834,0.157834,4454.51,2873.12,8030.64,-0.73339,-1.67141,-1.70633,-415.397,9666.24,-1651.09,-3.44865,1.89679,0.635481,300.983,-9904.29,-569.847,-1.21806,-0.60417,2.90079,-1901.54,9191.17,-2535.09,-1.9172,8.55428,0.879383,-3661.21,-9128.25,-1165.32,-4.90742,2.56691,-1.25135,8533.61,1255.4,4584.54,-5.64761,7.01361,-2.24907
0.005,4394.97,-3124.72,8084.23,0.543566,-0.0653075,0.145552,4458.86,2887.71,8024.72,-0.74332,-1.6466,-1.70442,-413.546,9672.32,-1664.97,-3.48379,1.9246,0.654706,319.9,-9916.04,-578.557,-1.22359,-0.622545,2.96213,-1914.95,9203.84,-2527.01,-1.90469,8.55264,0.819211,-3670.67,-9132.66,-1168.26,-4.87086,2.54486,-1.24766,8529.7,1265.16,4589.45,-5.62085,6.99162,-2.24548
0.006,4419.76,-3117.07,8084.48,0.475227,-0.102141,0.138578,4451.41,2911.08,8029.09,-0.750113,-1.58767,-1.59565,-392.203,9675.6,-1673.49,-3.4632,1.90839,0.655744,340.775,-9940.2,-598.323,-1.25506,-0.647057,3.00067,-1918.7,9215.83,-2522.47,-2.00948,8.56559,0.658159,-3674.84,-9136.04,-1169.49,-4.84232,2.51019,-1.24065,8529.97,1280.13,4601.71,-5.65905,6.91873,-2.27674
0.007,4444.55,-3109.41,8084.72,0.406889,-0.138975,0.131604,4443.96,2934.46,8033.46,-0.756907,-1.52875,-1.48688,-370.86,9678.87,-1682.01,-3.44261,1.89219,0.656783,361.651,-9964.36,-618.088,-1.28653,-0.671569,3.03921,-1922.45,9227.83,-2517.94,-2.11427,8.57854,0.497107,-3679.0,-9139.42,-1170.73,-4.81378,2.47553,-1.23364,8530.25,1295.11,4613.97,-5.69726,6.84584,-2.308
0.008,4469.34,-3101.75,8084.97,0.33855,-0.175809,0.12463,4436.51,2957.83,8037.83,-0.7637,-1.46982,-1.37811,-349.518,9682.15,-1690.53,-3.42202,1.87598,0.657821,382.526,-9988.51,-637.854,-1.31801,-0.696082,3.07776,-1926.2,9239.82,-2513.41,-2.21906,8.59149,0.336055,-3683.17,-9142.8,-1171.97,-4.78524,2.44087,-1.22663,8530.53,1310.08,4626.23,-5.73546,6.77295,-2.33926
0.009,4490.76,-3092.88,8086.46,0.284521,-0.202056,0.129477,4429.6,2976.46,8042.54,-0.763866,-1.41009,-1.28016,-329.269,9682.15,-1698.14,-3.40469,1.85695,0.64878,399.524,-10005.7,-654.467,-1.34981,-0.702677,3.11681,-1929.42,9249.31,-2510.45,-2.31995,8.59392,0.195687,-3685.82,-9143.73,-1174.94,-4.76214,2.41716,-1.22588,8530.12,1322.17,4636.11,-5.74934,6.70521,-2.36068
