Time,RFoot_accel.x,RFoot_accel.y,RFoot_accel.z,RFoot_gyro.x,RFoot_gyro.y,RFoot_gyro.z,LFoot_accel.x,LFoot_accel.y,LFoot_accel.z,LFoot_gyro.x,LFoot_gyro.y,LFoot_gyro.z,RShank_accel.x,RShank_accel.y,RShank_accel.z,RShank_gyro.x,RShank_gyro.y,RShank_gyro.z,LShank_accel.x,LShank_accel.y,LShank_accel.z,LShank_gyro.x,LShank_gyro.y,LShank_gyro.z,RThigh_accel.x,RThigh_accel.y,RThigh_accel.z,RThigh_gyro.x,RThigh_gyro.y,RThigh_gyro.z,LThigh_accel.x,LThigh_accel.y,LThigh_accel.z,LThigh_gyro.x,LThigh_gyro.y,LThigh_gyro.z,Pelvis_accel.x,Pelvis_accel.y,Pelvis_accel.z,Pelvis_gyro.x,Pelvis_gyro.y,Pelvis_gyro.z
3.09,5170.93,1430.22,7917.31,-14.0312,-98.3943,-16.7797,14894.0,-3843.26,20669.6,85.1737,324.096,-274.845,433.796,10048.5,-432.35,-33.0766,-48.875,-67.1322,-842.619,-22007.3,-1832.91,-120.434,150.19,-385.573,2285.55,9366.71,-3596.89,-8.02117,-122.302,-70.2379,8638.99,4764.06,-5122.17,-35.8798,13.507,-107.924,6187.04,-1472.8,1245.72,-70.5715,14.3406,-14.8387
3.0905,5193.18,1469.76,7924.05,-13.9032,-98.3887,-16.8238,15009.3,-4488.93,20814.1,87.4026,324.248,-276.171,393.342,10078.9,-380.446,-33.3045,-48.561,-67.4031,-972.759,-22061.7,-1790.86,-120.323,151.224,-385.631,2285.41,9377.48,-3642.22,-8.2343,-120.215,-70.4927,8693.36,4827.55,-5129.3,-36.3435,16.4882,-107.441,6226.12,-1442.31,1245.25,-70.0368,14.3588,-15.0213
3.091,5215.43,1509.3,7930.8,-13.7752,-98.383,-16.8679,15124.6,-5134.61,20958.6,89.6315,324.399,-277.497,352.888,10109.4,-328.543,-33.5324,-48.247,-67.6741,-1102.9,-22116.1,-1748.82,-120.213,152.257,-385.689,2285.27,9388.24,-3687.55,-8.44742,-118.129,-70.7475,8747.72,4891.03,-5136.44,-36.8072,19.4695,-106.958,6265.21,-1411.81,1244.78,-69.5022,14.377,-15.2039
3.0915,5237.69,1548.84,7937.54,-13.6471,-98.3774,-16.9119,15239.9,-5780.29,21103.1,91.8604,324.55,-278.823,312.435,10139.8,-276.639,-33.7603,-47.933,-67.945,-1233.04,-22170.5,-1706.78,-120.103,153.29,-385.748,2285.13,9399.01,-3732.88,-8.66055,-116.043,-71.0023,8802.09,4954.51,-5143.57,-37.2709,22.4508,-106.475,6304.29,-1381.32,1244.31,-68.9676,14.3951,-15.3865
3.092,5259.94,1588.38,7944.28,-13.5191,-98.3718,-16.956,15355.2,-6425.97,21247.6,94.0893,324.702,-280.149,271.981,10170.2,-224.736,-33.9882,-47.6189,-68.216,-1363.18,-22224.9,-1664.74,-119.992,154.324,-385.806,2284.99,9409.78,-3778.21,-8.87368,-113.957,-71.257,8856.45,5018.0,-5150.71,-37.7347,25.4321,-105.992,6343.38,-1350.83,1243.84,-68.433,14.4133,-15.5691
3.0925,5282.19,1627.92,7951.03,-13.3911,-98.3662,-17.0001,15470.5,-7071.65,21392.1,96.3182,324.853,-281.475,231.527,10200.6,-172.833,-34.2161,-47.3049,-68.4869,-1493.32,-22279.4,-1622.7,-119.882,155.357,-385.865,2284.85,9420.54,-3823.53,-9.08681,-111.871,-71.5118,8910.81,5081.48,-5157.84,-38.1984,28.4134,-105.509,6382.46,-1320.33,1243.37,-67.8984,14.4315,-15.7517
3.093,5304.44,1667.46,7957.77,-13.263,-98.3606,-17.0441,15585.8,-7717.33,21536.6,98.5471,325.005,-282.801,191.074,10231.1,-120.929,-34.4439,-46.9909,-68.7579,-1623.46,-22333.8,-1580.66,-119.772,156.39,-385.923,2284.71,9431.31,-3868.86,-9.29993,-109.785,-71.7666,8965.18,5144.96,-5164.98,-38.6621,31.3947,-105.026,6421.54,-1289.84,1242.9,-67.3637,14.4497,-15.9343
3.0935,5319.46,1709.37,7972.82,-13.0745,-98.4055,-17.0514,15727.0,-8246.22,21599.3,100.753,325.338,-283.326,159.624,10266.8,-74.0562,-34.6552,-46.725,-69.019,-1765.47,-22396.0,-1479.02,-119.407,157.243,-385.924,2288.85,9443.81,-3911.4,-9.52232,-107.668,-72.0238,9019.46,5216.92,-5175.69,-39.4736,34.631,-104.588,6474.44,-1258.25,1260.69,-66.7538,14.3389,-16.1294
3.094,5320.01,1756.05,8004.46,-12.7651,-98.5515,-16.9851,15919.9,-8541.53,21498.4,102.912,326.037,-282.251,146.181,10313.4,-37.2442,-34.8333,-46.5552,-69.2604,-1931.21,-22474.0,-1258.19,-118.534,157.735,-385.811,2301.57,9459.75,-3948.34,-9.76323,-105.491,-72.2858,9073.57,5305.82,-5193.56,-40.9804,38.3772,-104.239,6554.98,-1224.48,1315.0,-65.9933,13.9704,-16.3498
3.0945,5320.56,1802.72,8036.1,-12.4557,-98.6974,-16.9187,16112.8,-8836.85,21397.5,105.072,326.735,-281.175,132.738,10359.9,-0.432303,-35.0114,-46.3853,-69.5019,-2096.96,-22551.9,-1037.36,-117.661,158.227,-385.698,2314.28,9475.7,-3985.28,-10.0041,-103.313,-72.5477,9127.68,5394.71,-5211.42,-42.4873,42.1234,-103.891,6635.52,-1190.71,1369.31,-65.2327,13.6018,-16.5701
