Time,RFoot_accel.x,RFoot_accel.y,RFoot_accel.z,RFoot_gyro.x,RFoot_gyro.y,RFoot_gyro.z,LFoot_accel.x,LFoot_accel.y,LFoot_accel.z,LFoot_gyro.x,LFoot_gyro.y,LFoot_gyro.z,RShank_accel.x,RShank_accel.y,RShank_accel.z,RShank_gyro.x,RShank_gyro.y,RShank_gyro.z,LShank_accel.x,LShank_accel.y,LShank_accel.z,LShank_gyro.x,LShank_gyro.y,LShank_gyro.z,RThigh_accel.x,RThigh_accel.y,RThigh_accel.z,RThigh_gyro.x,RThigh_gyro.y,RThigh_gyro.z,LThigh_accel.x,LThigh_accel.y,LThigh_accel.z,LThigh_gyro.x,LThigh_gyro.y,LThigh_gyro.z,Pelvis_accel.x,Pelvis_accel.y,Pelvis_accel.z,Pelvis_gyro.x,Pelvis_gyro.y,Pelvis_gyro.z
3.64,2545.95,-4861.91,6917.61,-14.5857,355.569,152.351,4742.8,3862.32,7751.98,23.0167,-9.98192,3.56553,6719.54,3060.0,-176.593,91.7505,-59.0536,259.179,-1032.3,-9332.44,-3447.3,-14.0386,-43.5171,21.0178,-9209.38,3846.89,-2419.33,93.7462,39.7157,137.83,1615.14,-6281.32,-6334.43,-67.9191,-34.9791,119.361,3963.22,530.41,2745.72,12.2319,-1.02633,46.0368
3.641,2656.41,-4550.57,7070.01,-15.1218,355.982,154.769,4681.95,3831.31,7784.21,22.2174,-9.78837,4.03617,6577.28,3262.64,-131.98,93.3917,-55.363,261.066,-928.266,-9331.72,-3381.95,-13.6342,-43.608,20.7912,-9321.79,3753.78,-2626.86,91.72,39.8578,138.207,1724.35,-6317.81,-6065.73,-69.8712,-32.6188,120.333,3927.09,434.845,2717.43,12.4246,-0.948234,46.0803
3.642,2766.87,-4239.23,7222.41,-15.6578,356.395,157.187,4621.09,3800.29,7816.44,21.4181,-9.59481,4.50681,6435.03,3465.29,-87.3664,95.0329,-51.6724,262.952,-824.23,-9331.0,-3316.59,-13.2298,-43.6989,20.5647,-9434.2,3660.67,-2834.4,89.6937,39.9999,138.583,1833.55,-6354.31,-5797.03,-71.8234,-30.2586,121.304,3890.96,339.28,2689.13,12.6172,-0.87014,46.1238
3.643,2877.33,-3927.88,7374.81,-16.1939,356.809,159.605,4560.23,3769.27,7848.66,20.6188,-9.40125,4.97745,6292.77,3667.93,-42.753,96.6741,-47.9818,264.839,-720.194,-9330.28,-3251.24,-12.8254,-43.7898,20.3381,-9546.61,3567.57,-3041.93,87.6675,40.1421,138.96,1942.76,-6390.81,-5528.34,-73.7755,-27.8983,122.276,3854.83,243.715,2660.84,12.8099,-0.792046,46.1673
3.644,2987.79,-3616.54,7527.21,-16.7299,357.222,162.023,4499.38,3738.26,7880.89,19.8195,-9.2077,5.44809,6150.52,3870.58,1.86043,98.3152,-44.2912,266.725,-616.157,-9329.56,-3185.89,-12.421,-43.8807,20.1115,-9659.02,3474.46,-3249.47,85.6413,40.2842,139.337,2051.96,-6427.3,-5259.64,-75.7277,-25.538,123.247,3818.71,148.15,2632.54,13.0026,-0.713952,46.2108
3.645,3094.73,-3374.8,7695.0,-17.7938,357.451,164.426,4435.53,3698.59,7927.86,19.2274,-9.12166,5.89855,5995.66,4068.04,9.38734,100.001,-40.7058,268.609,-508.714,-9319.68,-3123.19,-12.0474,-43.7171,20.0429,-9682.52,3404.94,-3445.43,83.1993,40.9825,139.921,2105.47,-6556.97,-4914.15,-77.6653,-23.9221,123.75,3755.82,59.79,2604.25,13.2213,-0.569377,46.1993
3.646,3198.84,-3188.75,7875.12,-19.2798,357.531,166.817,4369.31,3652.01,7986.64,18.8009,-9.12163,6.33286,5830.72,4261.35,-12.755,101.723,-37.2045,270.491,-398.545,-9302.47,-3062.62,-11.6984,-43.3501,20.1007,-9634.91,3354.28,-3632.13,80.4248,42.1258,140.672,2114.43,-6761.17,-4507.22,-79.5913,-22.9016,123.878,3671.54,-22.8053,2575.94,13.4606,-0.371616,46.1437
3.647,3302.96,-3002.7,8055.24,-20.7659,357.611,169.208,4303.08,3605.43,8045.41,18.3745,-9.12161,6.76717,5665.79,4454.66,-34.8973,103.445,-33.7031,272.372,-288.377,-9285.26,-3002.04,-11.3494,-42.983,20.1584,-9587.29,3303.62,-3818.84,77.6502,43.2691,141.422,2123.39,-6965.36,-4100.3,-81.5173,-21.881,124.006,3587.25,-105.401,2547.64,13.7,-0.173856,46.0882
3.648,3407.07,-2816.65,8235.36,-22.2519,357.691,171.599,4236.85,3558.85,8104.18,17.948,-9.12158,7.20149,5500.85,4647.97,-57.0396,105.167,-30.2018,274.254,-178.208,-9268.05,-2941.47,-11.0004,-42.6159,20.2162,-9539.68,3252.97,-4005.54,74.8757,44.4124,142.173,2132.35,-7169.56,-3693.37,-83.4433,-20.8605,124.134,3502.96,-187.996,2519.34,13.9394,0.0239043,46.0326
3.649,3508.4,-2650.09,8402.18,-23.7434,357.779,173.946,4175.14,3510.7,8161.01,17.5885,-9.16904,7.65498,5339.97,4836.59,-80.7261,106.896,-26.7213,276.162,-68.5927,-9253.48,-2881.92,-10.6522,-42.2026,20.3052,-9482.3,3214.25,-4185.35,71.9171,45.7893,143.026,2130.18,-7387.51,-3281.39,-85.2943,-20.0678,124.14,3430.6,-266.6,2492.12,14.1895,0.210522,45.9796
