Time,RFoot_accel.x,RFoot_accel.y,RFoot_accel.z,RFoot_gyro.x,RFoot_gyro.y,RFoot_gyro.z,LFoot_accel.x,LFoot_accel.y,LFoot_accel.z,LFoot_gyro.x,LFoot_gyro.y,LFoot_gyro.z,RShank_accel.x,RShank_accel.y,RShank_accel.z,RShank_gyro.x,RShank_gyro.y,RShank_gyro.z,LShank_accel.x,LShank_accel.y,LShank_accel.z,LShank_gyro.x,LShank_gyro.y,LShank_gyro.z,RThigh_accel.x,RThigh_accel.y,RThigh_accel.z,RThigh_gyro.x,RThigh_gyro.y,RThigh_gyro.z,LThigh_accel.x,LThigh_accel.y,LThigh_accel.z,LThigh_gyro.x,LThigh_gyro.y,LThigh_gyro.z,Pelvis_accel.x,Pelvis_accel.y,Pelvis_accel.z,Pelvis_gyro.x,Pelvis_gyro.y,Pelvis_gyro.z
3.52,11694.3,-15367.6,16728.4,13.0593,-415.324,-331.253,6362.65,-8237.93,13023.1,-93.5583,0.169007,-14.3959,14811.5,18422.0,-11553.5,-86.6381,180.373,-188.026,-898.507,-14181.2,-1590.78,-20.1969,-68.1137,152.147,-2168.0,15323.3,303.414,36.9896,-21.6585,175.956,-13365.9,-3099.65,-6159.99,2.98247,-55.8613,156.153,11026.3,2158.99,6237.82,1.0344,14.9673,-30.2689
3.521,12310.2,-14711.2,15957.6,7.83976,-403.275,-330.046,7157.31,-8483.82,12774.7,-90.095,2.86023,-10.8868,13791.1,18115.6,-11027.8,-90.4621,175.489,-189.165,-808.076,-13951.5,-1317.28,-18.1936,-70.1044,147.643,-2468.19,15715.9,442.307,33.8134,-25.1745,180.711,-13592.5,-4410.43,-6198.78,-7.4312,-61.2663,158.054,11266.0,2015.58,6284.87,0.298305,15.7536,-30.9857
3.522,12926.0,-14054.9,15186.8,2.62025,-391.227,-328.839,7951.96,-8729.7,12526.3,-86.6317,5.55145,-7.37778,12770.6,17809.2,-10502.0,-94.2861,170.605,-190.304,-717.644,-13721.7,-1043.78,-16.1904,-72.0951,143.139,-2768.38,16108.6,581.2,30.6372,-28.6904,185.466,-13819.0,-5721.22,-6237.56,-17.8449,-66.6714,159.954,11505.8,1872.18,6331.91,-0.437788,16.5399,-31.7025
3.523,13541.9,-13398.5,14415.9,-2.59925,-379.178,-327.632,8746.61,-8975.59,12277.8,-83.1684,8.24268,-3.86873,11750.2,17502.8,-9976.24,-98.1101,165.721,-191.442,-627.212,-13492.0,-770.279,-14.1871,-74.0858,138.635,-3068.57,16501.2,720.093,27.461,-32.2064,190.222,-14045.6,-7032.0,-6276.35,-28.2586,-72.0764,161.854,11745.5,1728.77,6378.95,-1.17388,17.3262,-32.4193
3.524,14157.7,-12742.1,13645.1,-7.81876,-367.129,-326.425,9541.26,-9221.47,12029.4,-79.705,10.9339,-0.359676,10729.7,17196.3,-9450.47,-101.934,160.838,-192.581,-536.781,-13262.3,-496.778,-12.1838,-76.0765,134.131,-3368.76,16893.9,858.986,24.2848,-35.7223,194.977,-14272.1,-8342.78,-6315.14,-38.6722,-77.4814,163.755,11985.3,1585.36,6426.0,-1.90997,18.1125,-33.1361
3.525,14707.8,-12096.6,14001.6,-16.0858,-355.27,-323.405,9785.82,-8595.62,11721.8,-76.8948,12.0949,1.5253,9621.53,16860.7,-8950.86,-102.648,152.365,-193.963,-682.947,-13135.6,-9.90156,-9.20985,-78.9923,131.408,-3661.87,17225.2,894.78,21.7217,-38.5571,199.051,-14394.8,-9553.47,-6338.15,-47.4126,-81.5298,163.406,12213.4,1423.28,6471.69,-2.77344,18.6967,-33.7905
3.526,15205.3,-11459.7,15259.9,-26.7909,-343.563,-318.934,9590.31,-7272.38,11366.7,-74.6069,12.0317,2.11103,8443.19,16501.6,-8472.18,-100.874,141.02,-195.539,-1018.39,-13091.3,647.675,-5.45928,-82.6482,130.111,-3949.32,17507.4,848.095,19.6493,-40.847,202.58,-14434.5,-10684.1,-6348.55,-54.8143,-84.4929,161.258,12432.1,1246.26,6516.31,-3.7388,19.1194,-34.3949
3.527,15702.8,-10822.9,16518.2,-37.496,-331.855,-314.464,9394.79,-5949.14,11011.6,-72.3191,11.9685,2.69675,7264.86,16142.5,-7993.5,-99.0998,129.676,-197.115,-1353.84,-13047.1,1305.25,-1.70871,-86.3042,128.814,-4236.77,17789.6,801.409,17.5768,-43.1369,206.108,-14474.2,-11814.7,-6358.95,-62.216,-87.456,159.109,12650.8,1069.24,6560.93,-4.70416,19.5421,-34.9993
3.528,16200.2,-10186.1,17776.6,-48.2011,-320.148,-309.993,9199.28,-4625.9,10656.6,-70.0312,11.9053,3.28248,6086.52,15783.5,-7514.81,-97.3257,118.331,-198.692,-1689.29,-13002.9,1962.83,2.04185,-89.9601,127.517,-4524.21,18071.8,754.723,15.5044,-45.4268,209.637,-14513.8,-12945.4,-6369.34,-69.6178,-90.4191,156.961,12869.6,892.217,6605.54,-5.66952,19.9647,-35.6037
3.529,16697.4,-9557.91,18962.2,-58.7966,-308.623,-305.527,8976.32,-3237.1,10292.4,-67.7355,11.7349,3.54063,4909.58,15436.1,-7047.0,-95.274,106.823,-200.189,-2069.46,-12932.9,2549.45,5.35949,-93.5146,126.364,-4803.97,18355.1,698.46,13.5501,-47.4773,212.945,-14528.1,-14047.0,-6387.92,-76.3246,-93.2255,154.764,13082.6,716.955,6639.16,-6.55437,20.3728,-36.1723
