Time,RFoot_accel.x,RFoot_accel.y,RFoot_accel.z,RFoot_gyro.x,RFoot_gyro.y,RFoot_gyro.z,LFoot_accel.x,LFoot_accel.y,LFoot_accel.z,LFoot_gyro.x,LFoot_gyro.y,LFoot_gyro.z,RShank_accel.x,RShank_accel.y,RShank_accel.z,RShank_gyro.x,RShank_gyro.y,RShank_gyro.z,LShank_accel.x,LShank_accel.y,LShank_accel.z,LShank_gyro.x,LShank_gyro.y,LShank_gyro.z,RThigh_accel.x,RThigh_accel.y,RThigh_accel.z,RThigh_gyro.x,RThigh_gyro.y,RThigh_gyro.z,LThigh_accel.x,LThigh_accel.y,LThigh_accel.z,LThigh_gyro.x,LThigh_gyro.y,LThigh_gyro.z,Pelvis_accel.x,Pelvis_accel.y,Pelvis_accel.z,Pelvis_gyro.x,Pelvis_gyro.y,Pelvis_gyro.z
3.33,4125.72,2360.71,8976.16,-12.8949,-97.8465,28.9845,4414.26,3038.95,8822.37,49.3255,300.503,-202.048,-979.054,10129.2,-503.426,-5.24643,-43.7721,-43.5046,2589.93,-6033.37,-6256.08,-117.602,243.835,-204.773,-2977.97,10073.7,-513.223,14.6388,-83.3295,-54.3089,2680.71,8872.01,3882.61,28.7701,-241.526,-136.04,8995.83,2279.41,2987.71,-14.8085,4.83287,-47.094
3.3305,4132.23,2344.37,8955.69,-12.9442,-98.0157,28.9845,4508.28,2971.43,8837.61,49.9319,301.494,-201.325,-960.039,10109.1,-524.044,-5.21839,-43.5813,-43.5347,2520.6,-6088.44,-6226.7,-118.51,244.896,-205.525,-2948.31,10040.6,-520.971,14.687,-84.5184,-54.0338,2683.65,8879.44,3892.81,27.3954,-242.921,-136.193,9011.96,2269.23,2969.58,-15.4611,4.52121,-46.6523
3.331,4138.74,2328.03,8935.23,-12.9935,-98.1849,28.9845,4602.3,2903.92,8852.86,50.5383,302.486,-200.602,-941.025,10088.9,-544.662,-5.19035,-43.3905,-43.5649,2451.26,-6143.5,-6197.31,-119.418,245.958,-206.276,-2918.66,10007.5,-528.719,14.7353,-85.7073,-53.7586,2686.59,8886.87,3903.01,26.0207,-244.315,-136.347,9028.09,2259.05,2951.45,-16.1138,4.20955,-46.2106
3.3315,4145.24,2311.69,8914.77,-13.0427,-98.3541,28.9845,4696.32,2836.4,8868.1,51.1447,303.478,-199.879,-922.01,10068.8,-565.28,-5.16231,-43.1997,-43.5951,2381.93,-6198.57,-6167.92,-120.327,247.019,-207.028,-2889.01,9974.41,-536.467,14.7836,-86.8961,-53.4835,2689.53,8894.3,3913.21,24.6461,-245.71,-136.5,9044.23,2248.87,2933.32,-16.7665,3.89789,-45.769
3.332,4151.75,2295.35,8894.3,-13.092,-98.5233,28.9845,4790.34,2768.88,8883.35,51.7511,304.469,-199.156,-902.995,10048.7,-585.899,-5.13426,-43.0089,-43.6252,2312.59,-6253.64,-6138.53,-121.235,248.08,-207.779,-2859.35,9941.3,-544.216,14.8318,-88.085,-53.2083,2692.48,8901.74,3923.41,23.2714,-247.105,-136.654,9060.36,2238.69,2915.18,-17.4192,3.58623,-45.3273
3.3325,4158.26,2279.01,8873.84,-13.1412,-98.6925,28.9845,4884.36,2701.37,8898.59,52.3575,305.461,-198.433,-883.981,10028.5,-606.517,-5.10622,-42.8181,-43.6554,2243.25,-6308.7,-6109.14,-122.144,249.141,-208.531,-2829.7,9908.2,-551.964,14.8801,-89.2738,-52.9332,2695.42,8909.17,3933.6,21.8968,-248.5,-136.807,9076.49,2228.51,2897.05,-18.0718,3.27457,-44.8856
3.333,4164.76,2262.67,8853.37,-13.1905,-98.8617,28.9845,4978.38,2633.85,8913.84,52.964,306.453,-197.71,-864.966,10008.4,-627.135,-5.07818,-42.6273,-43.6856,2173.92,-6363.77,-6079.76,-123.052,250.203,-209.283,-2800.04,9875.09,-559.712,14.9284,-90.4627,-52.658,2698.36,8916.6,3943.8,20.5221,-249.894,-136.96,9092.62,2218.33,2878.92,-18.7245,2.96291,-44.4439
3.3335,4173.04,2247.08,8832.56,-13.2524,-98.9964,28.9924,5060.51,2562.18,8922.18,53.6764,307.477,-196.987,-849.984,9989.47,-649.521,-5.05282,-42.4347,-43.702,2096.24,-6425.76,-6051.9,-123.873,251.237,-209.943,-2769.04,9846.01,-575.973,14.9393,-91.6498,-52.4443,2702.63,8932.3,3955.67,19.2119,-251.334,-137.079,9092.83,2204.06,2860.39,-19.2993,2.76487,-44.0203
3.334,4184.85,2232.98,8811.06,-13.3398,-99.0621,29.0161,5118.86,2482.2,8916.71,54.6011,308.565,-196.264,-843.067,9973.05,-675.442,-5.03281,-42.2385,-43.6909,2001.86,-6501.59,-6027.11,-124.517,252.218,-210.419,-2735.35,9825.0,-609.261,14.8756,-92.8332,-52.3536,2709.55,8964.55,3970.86,18.0308,-252.861,-137.127,9061.2,2181.62,2841.07,-19.7183,2.79407,-43.6328
3.3345,4196.66,2218.87,8789.55,-13.4272,-99.1278,29.0397,5177.2,2402.22,8911.25,55.5257,309.654,-195.541,-836.149,9956.64,-701.364,-5.01279,-42.0423,-43.6798,1907.49,-6577.41,-6002.32,-125.161,253.199,-210.895,-2701.66,9803.98,-642.549,14.8118,-94.0167,-52.2628,2716.47,8996.81,3986.06,16.8497,-254.389,-137.174,9029.56,2159.17,2821.75,-20.1373,2.82327,-43.2454
